cex_symbol,base_asset,chain,token_address,pool_address,pool_rank,pool_dex,pool_quote_token,pool_liquidity_usd,pool_24h_volume_usd,mapping_confidence,mapping_source,coingecko_id,coingecko_symbol,coingecko_platform
GALAUSDT,GALA,eth,0xd1d2eb1b1e90b638588728b4130137d262c87cae,0x465e56cd21ad47d4d4790f17de5e0458f20c3719,1,uniswap_v3,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,111608.3306,217.5320317543,B,known_contract_geckoterminal_top_pool,gala,GALA,ethereum
INJUSDT,INJ,eth,0xe28b3b32b6c345a34ff64674606124dd5aceca30,0x1472b8c0d92925e16f4a0d7efc09dc89450b2a30,1,sushiswap-v3-ethereum,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,254677.3337,30710.6207625197,B,known_contract_geckoterminal_top_pool,injective-protocol,INJ,ethereum
ETHFIUSDT,ETHFI,eth,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,0x526cc4c56982e84ce640c387c0a5454fc2030d30f7fc77a8bb64d71718edbdaa,1,uniswap-v4-ethereum,eth_0x0000000000000000000000000000000000000000,643818.1273,233967.122152955,B,known_contract_geckoterminal_top_pool,ether-fi,ETHFI,ethereum
PYTHUSDT,PYTH,solana,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,9n3dSLrERZQp95dHXywft7xV8D8xnGFLaUHtEhQVaXaC,1,raydium-clmm,solana_So11111111111111111111111111111111111111112,251437.1559,204600.763572686,B,known_contract_geckoterminal_top_pool,pyth-network,PYTH,solana
AAVEUSDT,AAVE,eth,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x3de27efa2f1aa663ae5d458857e731c129069f29,1,balancer_ethereum,eth_0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,10665463.3402,251558.301707342,B,known_contract_geckoterminal_top_pool,aave,AAVE,ethereum
UNIUSDT,UNI,eth,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,1,uniswap_v3,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11842206.7745,6330326.84320612,B,known_contract_geckoterminal_top_pool,uniswap,UNI,ethereum
ONDOUSDT,ONDO,eth,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,0x7b1e5d984a43ee732de195628d20d05cfabc3cc7,1,uniswap_v3,eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,753667.6913,275924.291772392,B,known_contract_geckoterminal_top_pool,ondo-finance,ONDO,ethereum
ARBUSDT,ARB,arbitrum,0x912ce59144191c1204e64559fe8253a0e49e6548,0xc6f780497a95e246eb9449f5e4770916dcd6396a,1,uniswap_v3_arbitrum,arbitrum_0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1628442.9653,5478160.36496291,B,known_contract_geckoterminal_top_pool,arbitrum,ARB,arbitrum-one
